oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon,scenario
141.679655555623,0.331472463668234,1,total,lc,1,1,3
284.834351409301,0.33008419762047,1,total,apc,1,1,3
427.050998850038,0.328115831294389,1,total,rh,1,1,3
131.917935396756,0.255815625022095,1,credibility,lc,1,1,3
265.39185904286,0.25320918123364,1,credibility,apc,1,1,3
397.822687998015,0.250339212751119,1,credibility,rh,1,1,3
133.011291660408,0.254665262927337,1,full_mle,lc,1,1,3
267.465854362068,0.253159258035081,1,full_mle,apc,1,1,3
400.986258222691,0.250977563547882,1,full_mle,rh,1,1,3
133.100246679396,0.254770589577777,1,separate,lc,1,1,3
280.619735562839,0.267378696184074,1,separate,apc,1,1,3
414.096092936226,0.251219931284122,1,separate,rh,1,1,3
121.39632476933,0.179698978679567,1,total,lc,2,1,3
244.394899671704,0.181061549281939,1,total,apc,2,1,3
366.490831436574,0.180877360965215,1,total,rh,2,1,3
121.724865530151,0.164478553288423,1,credibility,lc,2,1,3
245.330108696344,0.16516453083859,1,credibility,apc,2,1,3
368.068592561107,0.165286385707869,1,credibility,rh,2,1,3
120.884058778312,0.154231963021146,1,full_mle,lc,2,1,3
243.361421597816,0.155999141104338,1,full_mle,apc,2,1,3
364.930467898004,0.156117196761284,1,full_mle,rh,2,1,3
122.356494654886,0.202868428920843,1,separate,lc,2,1,3
249.556022961225,0.208303533827928,1,separate,apc,2,1,3
369.829145165923,0.198472064344258,1,separate,rh,2,1,3
125.083111466019,0.253236133376468,1,total,lc,3,1,3
248.747819442729,0.24902168396461,1,total,apc,3,1,3
370.989957713872,0.246701554404059,1,total,rh,3,1,3
119.221162645996,0.201122194536578,1,credibility,lc,3,1,3
236.861940480316,0.196941277863661,1,credibility,apc,3,1,3
353.154671645868,0.194608935579581,1,credibility,rh,3,1,3
118.290707523572,0.187680576657942,1,full_mle,lc,3,1,3
235.152299517323,0.187332465250334,1,full_mle,apc,3,1,3
350.575696037817,0.185262245209089,1,full_mle,rh,3,1,3
120.354963970935,0.251822766762506,1,separate,lc,3,1,3
246.461013827987,0.225511542915076,1,separate,apc,3,1,3
368.704214632296,0.23125556925155,1,separate,rh,3,1,3
136.08273815546,0.251337908257106,1,total,lc,4,1,3
277.890040956485,0.25197456172996,1,total,apc,4,1,3
424.946265287811,0.252394868973985,1,total,rh,4,1,3
132.684262116166,0.203471517303631,1,credibility,lc,4,1,3
271.336595417364,0.205922090389074,1,credibility,apc,4,1,3
415.326682613689,0.207066074748444,1,credibility,rh,4,1,3
129.057510308728,0.204753208896359,1,full_mle,lc,4,1,3
263.858648619152,0.207242145523398,1,full_mle,apc,4,1,3
403.862957048147,0.209388824242728,1,full_mle,rh,4,1,3
132.640643678046,0.239672434816473,1,separate,lc,4,1,3
277.566230733632,0.244823834896439,1,separate,apc,4,1,3
417.808956530191,0.239306080590966,1,separate,rh,4,1,3
129.437224622412,0.272613866500554,1,total,lc,5,1,3
258.731251486769,0.272343180172008,1,total,apc,5,1,3
387.595670873422,0.271957299683988,1,total,rh,5,1,3
122.65359762465,0.203265658037764,1,credibility,lc,5,1,3
245.533699086541,0.205323440057922,1,credibility,apc,5,1,3
367.956106831416,0.205031770360781,1,credibility,rh,5,1,3
119.610601116399,0.186882819425722,1,full_mle,lc,5,1,3
239.06593948416,0.187937686294392,1,full_mle,apc,5,1,3
358.08980689863,0.187912164715512,1,full_mle,rh,5,1,3
121.407104962531,0.212434441256583,1,separate,lc,5,1,3
247.433625229116,0.22418751653179,1,separate,apc,5,1,3
370.497880097926,0.219764642490598,1,separate,rh,5,1,3
126.388862540965,0.295742982406124,1,total,lc,6,1,3
249.559971769458,0.292423178917785,1,total,apc,6,1,3
373.974691740803,0.292817568024692,1,total,rh,6,1,3
117.097796075936,0.193512030140442,1,credibility,lc,6,1,3
231.458291019225,0.190637738660918,1,credibility,apc,6,1,3
347.038938376266,0.191385348874205,1,credibility,rh,6,1,3
118.951112888214,0.190877054194124,1,full_mle,lc,6,1,3
234.660486154599,0.18806536603737,1,full_mle,apc,6,1,3
351.605717328523,0.188333910531123,1,full_mle,rh,6,1,3
119.721626764325,0.223522957468611,1,separate,lc,6,1,3
236.76479535672,0.229245921894381,1,separate,apc,6,1,3
352.663288205212,0.214253721044075,1,separate,rh,6,1,3
129.255063535892,0.277433130903288,1,total,lc,1,5,3
261.091309909051,0.273381524027743,1,total,apc,1,5,3
405.692205824377,0.27640608061806,1,total,rh,1,5,3
121.960883182722,0.202637428255538,1,credibility,lc,1,5,3
247.474541929271,0.201758629032694,1,credibility,apc,1,5,3
386.531402800166,0.208398440263344,1,credibility,rh,1,5,3
118.976001571378,0.177181974486442,1,full_mle,lc,1,5,3
240.444252951432,0.18112104881979,1,full_mle,apc,1,5,3
374.59358891944,0.188276174186313,1,full_mle,rh,1,5,3
119.721133719702,0.173620453477308,1,separate,lc,1,5,3
257.102991309561,0.23261333229404,1,separate,apc,1,5,3
384.584112617827,0.222811877474109,1,separate,rh,1,5,3
131.006747465955,0.252858337299478,1,total,lc,2,5,3
266.549591419331,0.250932613617741,1,total,apc,2,5,3
406.136196200087,0.25179909651986,1,total,rh,2,5,3
126.057521739309,0.196047522808625,1,credibility,lc,2,5,3
258.186669889289,0.197355290085715,1,credibility,apc,2,5,3
394.17170426879,0.199429820745464,1,credibility,rh,2,5,3
123.50540421659,0.193316682419091,1,full_mle,lc,2,5,3
251.46419602586,0.196844163693488,1,full_mle,apc,2,5,3
383.443085613462,0.199210355207071,1,full_mle,rh,2,5,3
128.219647720366,0.258298955574609,1,separate,lc,2,5,3
255.94722943339,0.2286005861136,1,separate,apc,2,5,3
389.009711891952,0.235808362268406,1,separate,rh,2,5,3
141.880637740041,0.220033169244184,1,total,lc,3,5,3
295.898644530873,0.222088992678159,1,total,apc,3,5,3
455.131858406609,0.220868468572755,1,total,rh,3,5,3
141.013921620242,0.206943249666002,1,credibility,lc,3,5,3
295.847341247062,0.217457536485885,1,credibility,apc,3,5,3
455.925533840651,0.218376999641469,1,credibility,rh,3,5,3
137.237084783279,0.210292550754724,1,full_mle,lc,3,5,3
286.56085324852,0.220254764205665,1,full_mle,apc,3,5,3
441.078235086833,0.220818490695541,1,full_mle,rh,3,5,3
138.965699184526,0.264049712282446,1,separate,lc,3,5,3
300.616698510252,0.266199912931974,1,separate,apc,3,5,3
453.193493971496,0.249091856001061,1,separate,rh,3,5,3
144.433613772181,0.462408493643173,1,total,lc,4,5,3
286.572069034939,0.462808708686174,1,total,apc,4,5,3
437.332103562478,0.474597366534704,1,total,rh,4,5,3
137.197565942864,0.318557853254286,1,credibility,lc,4,5,3
273.118140752007,0.319747331731869,1,credibility,apc,4,5,3
417.513075781187,0.330269328063127,1,credibility,rh,4,5,3
133.29525463455,0.29528074288638,1,full_mle,lc,4,5,3
264.243335560374,0.2955374928357,1,full_mle,apc,4,5,3
403.818541792463,0.305250334792298,1,full_mle,rh,4,5,3
136.274769991234,0.367798403131219,1,separate,lc,4,5,3
277.492813497421,0.41288224507207,1,separate,apc,4,5,3
419.033015147745,0.406088395311402,1,separate,rh,4,5,3
113.588829798883,0.253737362635037,1,total,lc,5,5,3
228.273346575023,0.253115295363736,1,total,apc,5,5,3
341.114057505314,0.251442918814933,1,total,rh,5,5,3
109.129357005736,0.207231971833696,1,credibility,lc,5,5,3
220.606082275497,0.210034176787362,1,credibility,apc,5,5,3
330.026683963474,0.20909590860022,1,credibility,rh,5,5,3
107.118061682804,0.173993221795765,1,full_mle,lc,5,5,3
215.309008529802,0.176513303259167,1,full_mle,apc,5,5,3
321.655985713824,0.174963131723772,1,full_mle,rh,5,5,3
106.419146262318,0.195332678494088,1,separate,lc,5,5,3
