oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon,scenario
124.651457081094,0.249330292534972,1,total,lc,1,1,2
252.879650274272,0.248850617235387,1,total,apc,1,1,2
379.392711227163,0.248671028959642,1,total,rh,1,1,2
118.572235411769,0.188413640877572,1,credibility,lc,1,1,2
240.929923296421,0.188495186532206,1,credibility,apc,1,1,2
361.435826465748,0.188044960428783,1,credibility,rh,1,1,2
121.001409315448,0.166969455444925,1,full_mle,lc,1,1,2
245.589726228819,0.169533874498349,1,full_mle,apc,1,1,2
368.460582381935,0.169896821251692,1,full_mle,rh,1,1,2
120.502935460049,0.156673836546225,1,separate,lc,1,1,2
248.920666685075,0.186152772206486,1,separate,apc,1,1,2
373.975262198812,0.185355301891078,1,separate,rh,1,1,2
124.742995390219,0.249302465746533,1,total,lc,2,1,2
249.342650303196,0.247754609054391,1,total,apc,2,1,2
374.602009211884,0.248399497831958,1,total,rh,2,1,2
121.274405694456,0.200651229587641,1,credibility,lc,2,1,2
242.591593126853,0.200644457360871,1,credibility,apc,2,1,2
364.626028130086,0.201330448681585,1,credibility,rh,2,1,2
118.929164353466,0.207891636937958,1,full_mle,lc,2,1,2
237.705274669521,0.207981496714025,1,full_mle,apc,2,1,2
357.144346986695,0.208742108866402,1,full_mle,rh,2,1,2
119.022366412185,0.184214453115487,1,separate,lc,2,1,2
248.306072709089,0.200063074885683,1,separate,apc,2,1,2
368.045708893061,0.196310193793933,1,separate,rh,2,1,2
136.749773958016,0.29666912403442,1,total,lc,3,1,2
270.029427862977,0.291887674932184,1,total,apc,3,1,2
404.593237717797,0.291511441177245,1,total,rh,3,1,2
129.306307545147,0.237625510210779,1,credibility,lc,3,1,2
255.66494135042,0.232532479593214,1,credibility,apc,3,1,2
383.090872292124,0.232570070331666,1,credibility,rh,3,1,2
131.336423642357,0.229811915716022,1,full_mle,lc,3,1,2
259.179455543812,0.226084099074606,1,full_mle,apc,3,1,2
388.317801331257,0.225244299357626,1,full_mle,rh,3,1,2
130.857436952862,0.234171759129256,1,separate,lc,3,1,2
276.214721180545,0.263740671145895,1,separate,apc,3,1,2
406.377822764848,0.253882057926557,1,separate,rh,3,1,2
130.313615785182,0.2314383961825,1,total,lc,4,1,2
260.445025321014,0.227440565925829,1,total,apc,4,1,2
390.415472482956,0.22711934556444,1,total,rh,4,1,2
127.159962462429,0.193625477743018,1,credibility,lc,4,1,2
254.096446334349,0.18895595333841,1,credibility,apc,4,1,2
381.117786663858,0.18947218462295,1,credibility,rh,4,1,2
123.846107420219,0.187220154643977,1,full_mle,lc,4,1,2
247.523865221183,0.180645535364938,1,full_mle,apc,4,1,2
371.029709109338,0.180833933647263,1,full_mle,rh,4,1,2
123.727927991929,0.175680900093434,1,separate,lc,4,1,2
250.4522062535,0.226217264402227,1,separate,apc,4,1,2
376.874685444994,0.214363347275761,1,separate,rh,4,1,2
128.486014619202,0.262623086419094,1,total,lc,5,1,2
