oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon,age_breakets
28.7933752868511,0.452990437155571,1,total,lc,1,1,16-25
56.0981751627907,0.415322218261199,1,total,apc,1,1,16-25
85.1151986157931,0.397364953777719,1,total,rh,1,1,16-25
32.674239600509,0.263610698544872,1,total,lc,1,1,26-35
64.8092594239473,0.260360405572384,1,total,apc,1,1,26-35
101.859143760006,0.279176714921937,1,total,rh,1,1,26-35
43.1366187079188,0.307216438406478,1,total,lc,1,1,36-45
88.7827203378111,0.321227410722384,1,total,apc,1,1,36-45
138.394571485687,0.324359765421101,1,total,rh,1,1,36-45
63.9533785853442,0.403104366515167,1,total,lc,1,1,46-55
131.799953283536,0.421877970301617,1,total,apc,1,1,46-55
198.213173510271,0.418414060894263,1,total,rh,1,1,46-55
86.185515368173,0.281217993304156,1,total,lc,1,1,56-65
168.192138473573,0.293427438124079,1,total,apc,1,1,56-65
253.416999472686,0.295294789790077,1,total,rh,1,1,56-65
99.8037807801084,0.293226479512399,1,total,lc,1,1,66-75
205.833571780649,0.312162960537088,1,total,apc,1,1,66-75
307.63326528309,0.311617953215453,1,total,rh,1,1,66-75
132.18535889527,0.218879680637611,1,total,lc,1,1,76-85
268.686997058554,0.223315795759946,1,total,apc,1,1,76-85
410.915877424993,0.226590658630618,1,total,rh,1,1,76-85
28.8003472155675,0.453332123673991,1,credibility,lc,1,1,16-25
56.1072699933459,0.415560490332756,1,credibility,apc,1,1,16-25
85.1242934463482,0.397523801825424,1,credibility,rh,1,1,16-25
32.5253964818044,0.261792428208018,1,credibility,lc,1,1,26-35
64.5987094087465,0.259511460015895,1,credibility,apc,1,1,26-35
101.637492826352,0.278591336623595,1,credibility,rh,1,1,26-35
43.0268185722205,0.306476337730506,1,credibility,lc,1,1,36-45
88.5430391113338,0.320324631878131,1,credibility,apc,1,1,36-45
138.042952510597,0.323630967929829,1,credibility,rh,1,1,36-45
63.9458858681859,0.404405485919562,1,credibility,lc,1,1,46-55
131.745139338453,0.426177511656413,1,credibility,apc,1,1,46-55
198.069079234491,0.424022723813227,1,credibility,rh,1,1,46-55
85.7739092751173,0.2998143771952,1,credibility,lc,1,1,56-65
166.511905185647,0.307693830534152,1,credibility,apc,1,1,56-65
250.797644403154,0.308301974483432,1,credibility,rh,1,1,56-65
92.2488331688085,0.223640363192271,1,credibility,lc,1,1,66-75
187.602709582624,0.235023193626206,1,credibility,apc,1,1,66-75
280.639875794607,0.234451758471555,1,credibility,rh,1,1,66-75
106.793208537836,0.11590581769032,1,credibility,lc,1,1,76-85
216.009315698381,0.120181692635314,1,credibility,apc,1,1,76-85
329.194072500652,0.120731541554964,1,credibility,rh,1,1,76-85
28.90089047789,0.464457923467519,1,full_mle,lc,1,1,16-25
56.2566592767866,0.428207768502344,1,full_mle,apc,1,1,16-25
85.3237250563768,0.410113730013781,1,full_mle,rh,1,1,16-25
32.8942487933586,0.297698026300286,1,full_mle,lc,1,1,26-35
65.3046492195626,0.29372237463718,1,full_mle,apc,1,1,26-35
102.411308560629,0.314073902058118,1,full_mle,rh,1,1,26-35
43.0963215661972,0.245350164462683,1,full_mle,lc,1,1,36-45
88.6898283168237,0.269624008599529,1,full_mle,apc,1,1,36-45
138.192664089085,0.277067811250053,1,full_mle,rh,1,1,36-45
61.4900296702035,0.281758486153203,1,full_mle,lc,1,1,46-55
126.878224541919,0.308050480497733,1,full_mle,apc,1,1,46-55
190.83958349734,0.310396685185395,1,full_mle,rh,1,1,46-55
85.0545067314398,0.325484873218942,1,full_mle,lc,1,1,56-65
165.973555277713,0.33605950288953,1,full_mle,apc,1,1,56-65
250.08598599667,0.335840227079772,1,full_mle,rh,1,1,56-65
91.6865162371117,0.250605992363033,1,full_mle,lc,1,1,66-75
189.72410455554,0.268705521938332,1,full_mle,apc,1,1,66-75
283.447371336529,0.267119066192776,1,full_mle,rh,1,1,66-75
106.429356055077,0.112810641542844,1,full_mle,lc,1,1,76-85
217.279226188663,0.118099168710576,1,full_mle,apc,1,1,76-85
334.064444945325,0.119209272727164,1,full_mle,rh,1,1,76-85
29.2785300871098,0.491645155295125,1,separate,lc,1,1,16-25
56.4101703035761,0.455093597383386,1,separate,apc,1,1,16-25
83.9892164881744,0.410817907170691,1,separate,rh,1,1,16-25
33.0354996895139,0.312923415232718,1,separate,lc,1,1,26-35
65.8087462552046,0.325847873890252,1,separate,apc,1,1,26-35
101.400238667228,0.318239219585636,1,separate,rh,1,1,26-35
42.785758213395,0.245863898614015,1,separate,lc,1,1,36-45
90.000791796446,0.274852355641538,1,separate,apc,1,1,36-45
139.100480534527,0.292736117063605,1,separate,rh,1,1,36-45
62.8941463506561,0.31164713385313,1,separate,lc,1,1,46-55
128.686609948108,0.339328903187007,1,separate,apc,1,1,46-55
195.117884134814,0.363575254159536,1,separate,rh,1,1,46-55
86.1157893076674,0.271738238790128,1,separate,lc,1,1,56-65
168.28180006676,0.321132822251638,1,separate,apc,1,1,56-65
253.659597646224,0.314138416999453,1,separate,rh,1,1,56-65
92.9573495873157,0.236087537015875,1,separate,lc,1,1,66-75
191.194698846058,0.283389880336396,1,separate,apc,1,1,66-75
293.681447801596,0.292624491480499,1,separate,rh,1,1,66-75
108.126159030327,0.108921058011108,1,separate,lc,1,1,76-85
218.105851911199,0.106675961465889,1,separate,apc,1,1,76-85
363.589394856599,0.14969686424087,1,separate,rh,1,1,76-85
30.842516567644,0.387818208253372,1,total,lc,2,1,16-25
60.122369180836,0.362928181102724,1,total,apc,2,1,16-25
91.6334115168094,0.378926530305414,1,total,rh,2,1,16-25
34.4003580024794,0.248721056805271,1,total,lc,2,1,26-35
68.1868580835186,0.249770855496916,1,total,apc,2,1,26-35
103.270509450366,0.254559189561446,1,total,rh,2,1,26-35
48.2497505688801,0.635196333850655,1,total,lc,2,1,36-45
95.6273518120329,0.59761483927384,1,total,apc,2,1,36-45
143.000304405625,0.58801561391329,1,total,rh,2,1,36-45
64.1142793064372,0.452841132961868,1,total,lc,2,1,46-55
126.873009450838,0.445384277796707,1,total,apc,2,1,46-55
190.300127854005,0.44007450210103,1,total,rh,2,1,46-55
76.714063894027,0.25207289153738,1,total,lc,2,1,56-65
151.983401518684,0.258031155977852,1,total,apc,2,1,56-65
227.274713224318,0.256441355863425,1,total,rh,2,1,56-65
100.713787553414,0.265293543724441,1,total,lc,2,1,66-75
196.475400162014,0.2734884280764,1,total,apc,2,1,66-75
293.452640972287,0.272294180867869,1,total,rh,2,1,66-75
131.473995406175,0.218603096984602,1,total,lc,2,1,76-85
261.900065797517,0.21528573887638,1,total,apc,2,1,76-85
390.609648349186,0.213958209629031,1,total,rh,2,1,76-85
30.8408042335372,0.387586536235797,1,credibility,lc,2,1,16-25
60.1212326704236,0.362882104603279,1,credibility,apc,2,1,16-25
91.632275006397,0.378895812639117,1,credibility,rh,2,1,16-25
34.3659559264868,0.247298354777812,1,credibility,lc,2,1,26-35
68.1360122156261,0.248813031453472,1,credibility,apc,2,1,26-35
103.151924088458,0.253508017242238,1,credibility,rh,2,1,26-35
48.2412049636125,0.634274441683286,1,credibility,lc,2,1,36-45
95.5875934016456,0.596546078029331,1,credibility,apc,2,1,36-45
