forecasting_horizon,model,mse_0,mse_1,mse_2
1,lc,0.132385029092131,0.0818784506421513,0.0864289797913997
1,apc,0.131357471301349,0.0801250987008731,0.0724533149669302
1,rh,0.112004478754012,0.0660557006710286,0.0573379085661706
5,lc,0.13990655755514,0.0979298789990398,0.115674610651199
5,apc,0.13726035368868,0.0959799418926338,0.0990294713846248
5,rh,0.114567223895576,0.0808445515381323,0.0795976851650279
12,lc,0.164644275798432,0.138383662346889,0.18023277203283
12,apc,0.16508208089565,0.136612348852158,0.14606899047335
12,rh,0.275695799451545,0.269838325229823,0.0990833254636444
