forecasting_horizon,model,mse_0,mse_1,mse_2
1,lc,0.101896408214326,0.0618344294013592,0.053458069773269
1,apc,0.124223375429694,0.0787722707760086,0.0611795712992566
1,rh,0.101912716329895,0.0617054851399242,0.0481686149017095
5,lc,0.100562029849904,0.0656258339917983,0.0723744975029812
5,apc,0.132680816976639,0.0894539977563195,0.0799709477387523
5,rh,0.10217669569015,0.0726493606215841,0.0691291356303102
12,lc,0.101210021542873,0.0797451800316671,0.117508827483392
12,apc,0.149883308026914,0.11390729706874,0.114266948348715
12,rh,0.160415528954599,0.148725106911007,0.155377375128999
