forecasting_horizon,model,mse_0,mse_1,mse_2
1,lc,0.207711356622422,0.0640966997971792,0.0521306052001831
1,apc,0.210992142286398,0.0531335813705815,0.0228024407143501
1,rh,0.210273037203268,0.0508744385990764,0.0190350385694478
5,lc,0.204063099279411,0.0766849198150038,0.0728899601807193
5,apc,0.207419693755553,0.0584577806874797,0.0357096884342441
5,rh,0.204204653646777,0.0577209926969556,0.0393912835605075
12,lc,0.200642493249069,0.0896866523596896,0.103516045453652
12,apc,0.203560615643121,0.064506627131279,0.0435819609493891
12,rh,0.227620936585369,0.131802399898448,0.0847935730411815
